"","comb","piT","piS.ave","Fst"
"1","b1 b2",0.00566957512688228,0.00566938321361195,3.38496740997887e-05
"2","b1 b3",0.00555400296561142,0.00611626024146734,-0.101234601302382
"3","b1 b4",0.00572607368824599,0.00567937003063531,0.00815631445794176
"4","b1 b5",0.00634295517403346,0.00631874807990861,0.00381637477495453
"5","b2 b3",0.00523227964675352,0.00557495566670707,-0.0654926806456477
"6","b2 b4",0.00513894014934008,0.00513806545587504,0.000170208922388739
"7","b2 b5",0.00576321368897619,0.00577744350514835,-0.00246907661941641
"8","b3 b4",0.00601161264302329,0.00558494248373043,0.0709743266289822
"9","b3 b5",0.00630572930946369,0.00622432053300374,0.0129102872109935
"10","b4 b5",0.00582873548320378,0.00578743032217171,0.00708647032466917
