"","comb","piT","piS.ave","Fst"
"1","c1 c2",0.00585681237964055,0.00585312802476269,0.000629071692763584
"2","c1 c3",0.00470684803156689,0.00471642596073575,-0.00203489237481729
"3","c1 c4",0.00492075522426817,0.00485743146559102,0.0128687073002235
"4","c1 c5",0.00485859036492023,0.00482288688285213,0.00734852691551942
"5","c2 c3",0.00623708637944965,0.00605949215744864,0.0284739077185393
"6","c2 c4",0.00610674464023905,0.00620049766230391,-0.015352373087142
"7","c2 c5",0.0061191406042847,0.00616595307956502,-0.00765017153675784
"8","c3 c4",0.00511902055444886,0.00506379559827696,0.0107881880106747
"9","c3 c5",0.00505869568620469,0.00502925101553807,0.00582060524947515
"10","c4 c5",0.00518887227366354,0.00517025652039334,0.00358762989111987
